book_id,title,author_id,author_name,genre,difficulty,length_group,age_group,description
b_039,Понимание привычек,a_016,Б. Тихонов,Психология,Продвинутый,Средняя,15–17,"Учебная книга жанра «психология». Уровень: продвинутый, объём: средняя."
b_040,Окна на окраине,a_003,И. Лебедев,Современная проза,Средний,Средняя,12–14,"Учебная книга жанра «современная проза». Уровень: средний, объём: средняя."
b_041,Тайна дракона 2,a_011,Т. Зорина,Фэнтези,Средний,Длинная,15–17,"Учебная книга жанра «фэнтези». Уровень: средний, объём: длинная."
b_042,Дело закрытой комнаты 2,a_018,Ф. Сергеев,Детектив,Продвинутый,Длинная,18+,"Учебная книга жанра «детектив». Уровень: продвинутый, объём: длинная."
b_043,Сигнал за горизонтом 2,a_005,Н. Белова,Научная фантастика,Начальный,Длинная,18+,"Учебная книга жанра «научная фантастика». Уровень: начальный, объём: длинная."
b_044,Остров древнего города 2,a_012,В. Громов,Приключения,Средний,Короткая,12–14,"Учебная книга жанра «приключения». Уровень: средний, объём: короткая."
b_045,Люди революций 2,a_020,М. Павлов,История,Начальный,Средняя,18+,"Учебная книга жанра «история». Уровень: начальный, объём: средняя."
b_046,Как устроена Вселенная 2,a_007,К. Волкова,Научпоп,Начальный,Длинная,15–17,"Учебная книга жанра «научпоп». Уровень: начальный, объём: длинная."
b_047,Сила привычек 2,a_014,Р. Данилов,Психология,Средний,Длинная,12–14,"Учебная книга жанра «психология». Уровень: средний, объём: длинная."
b_048,Лето на окраине 2,a_001,А. Ветров,Современная проза,Продвинутый,Средняя,15–17,"Учебная книга жанра «современная проза». Уровень: продвинутый, объём: средняя."
b_049,Песнь дракона 2,a_009,О. Фёдорова,Фэнтези,Начальный,Средняя,12–14,"Учебная книга жанра «фэнтези». Уровень: начальный, объём: средняя."
b_050,След закрытой комнаты 2,a_016,Б. Тихонов,Детектив,Средний,Длинная,15–17,"Учебная книга жанра «детектив». Уровень: средний, объём: длинная."
b_051,Орбита за горизонтом 2,a_003,И. Лебедев,Научная фантастика,Начальный,Средняя,12–14,"Учебная книга жанра «научная фантастика». Уровень: начальный, объём: средняя."
b_052,Маршрут древнего города 2,a_010,С. Крылов,Приключения,Начальный,Длинная,12–14,"Учебная книга жанра «приключения». Уровень: начальный, объём: длинная."
b_053,Город революций 2,a_018,Ф. Сергеев,История,Продвинутый,Короткая,12–14,"Учебная книга жанра «история». Уровень: продвинутый, объём: короткая."
b_054,Мир Вселенная 2,a_005,Н. Белова,Научпоп,Продвинутый,Средняя,15–17,"Учебная книга жанра «научпоп». Уровень: продвинутый, объём: средняя."
b_055,Навык привычек 2,a_012,В. Громов,Психология,Начальный,Короткая,12–14,"Учебная книга жанра «психология». Уровень: начальный, объём: короткая."
b_056,Дом на окраине 2,a_019,А. Назарова,Современная проза,Продвинутый,Средняя,18+,"Учебная книга жанра «современная проза». Уровень: продвинутый, объём: средняя."
b_057,Хроники дракона 2,a_007,К. Волкова,Фэнтези,Начальный,Средняя,18+,"Учебная книга жанра «фэнтези». Уровень: начальный, объём: средняя."
b_058,Загадка закрытой комнаты 2,a_014,Р. Данилов,Детектив,Средний,Короткая,15–17,"Учебная книга жанра «детектив». Уровень: средний, объём: короткая."
b_059,Колония за горизонтом 2,a_001,А. Ветров,Научная фантастика,Продвинутый,Короткая,18+,"Учебная книга жанра «научная фантастика». Уровень: продвинутый, объём: короткая."
b_060,Карта древнего города 2,a_008,П. Романов,Приключения,Начальный,Длинная,15–17,"Учебная книга жанра «приключения». Уровень: начальный, объём: длинная."
b_061,Эпоха революций 2,a_016,Б. Тихонов,История,Средний,Длинная,12–14,"Учебная книга жанра «история». Уровень: средний, объём: длинная."
b_062,Краткая история Вселенная 2,a_003,И. Лебедев,Научпоп,Продвинутый,Короткая,15–17,"Учебная книга жанра «научпоп». Уровень: продвинутый, объём: короткая."
b_063,Путь привычек 2,a_010,С. Крылов,Психология,Средний,Длинная,12–14,"Учебная книга жанра «психология». Уровень: средний, объём: длинная."
b_064,Письма на окраине 2,a_017,Г. Никитина,Современная проза,Начальный,Длинная,18+,"Учебная книга жанра «современная проза». Уровень: начальный, объём: длинная."
b_065,Легенда дракона 2,a_005,Н. Белова,Фэнтези,Начальный,Короткая,15–17,"Учебная книга жанра «фэнтези». Уровень: начальный, объём: короткая."
b_066,Тень закрытой комнаты 2,a_012,В. Громов,Детектив,Продвинутый,Короткая,12–14,"Учебная книга жанра «детектив». Уровень: продвинутый, объём: короткая."
b_067,Предел за горизонтом 2,a_019,А. Назарова,Научная фантастика,Средний,Средняя,12–14,"Учебная книга жанра «научная фантастика». Уровень: средний, объём: средняя."
b_068,Путь древнего города 2,a_006,Д. Морозов,Приключения,Продвинутый,Длинная,12–14,"Учебная книга жанра «приключения». Уровень: продвинутый, объём: длинная."
b_069,Дорога революций 2,a_014,Р. Данилов,История,Средний,Короткая,15–17,"Учебная книга жанра «история». Уровень: средний, объём: короткая."
b_070,Почему работает Вселенная 2,a_001,А. Ветров,Научпоп,Средний,Длинная,18+,"Учебная книга жанра «научпоп». Уровень: средний, объём: длинная."
b_071,Практика привычек 2,a_008,П. Романов,Психология,Средний,Короткая,12–14,"Учебная книга жанра «психология». Уровень: средний, объём: короткая."
b_072,Город на окраине 2,a_015,Ю. Казакова,Современная проза,Средний,Короткая,18+,"Учебная книга жанра «современная проза». Уровень: средний, объём: короткая."
b_073,Башня дракона 2,a_003,И. Лебедев,Фэнтези,Продвинутый,Длинная,12–14,"Учебная книга жанра «фэнтези». Уровень: продвинутый, объём: длинная."
b_074,Исчезновение закрытой комнаты 2,a_010,С. Крылов,Детектив,Продвинутый,Средняя,12–14,"Учебная книга жанра «детектив». Уровень: продвинутый, объём: средняя."
b_075,Экспедиция за горизонтом 2,a_017,Г. Никитина,Научная фантастика,Средний,Средняя,15–17,"Учебная книга жанра «научная фантастика». Уровень: средний, объём: средняя."
b_076,Сокровище древнего города 2,a_004,Е. Соколова,Приключения,Средний,Длинная,18+,"Учебная книга жанра «приключения». Уровень: средний, объём: длинная."
b_077,Свидетели революций 2,a_012,В. Громов,История,Начальный,Длинная,18+,"Учебная книга жанра «история». Уровень: начальный, объём: длинная."
b_078,Наука о Вселенная 2,a_019,А. Назарова,Научпоп,Начальный,Короткая,18+,"Учебная книга жанра «научпоп». Уровень: начальный, объём: короткая."
b_079,Понимание привычек 2,a_006,Д. Морозов,Психология,Продвинутый,Короткая,15–17,"Учебная книга жанра «психология». Уровень: продвинутый, объём: короткая."
b_080,Окна на окраине 2,a_013,Л. Миронова,Современная проза,Средний,Короткая,12–14,"Учебная книга жанра «современная проза». Уровень: средний, объём: короткая."
